wavelength,flux
1220,8.524808463e-13
1224,1.734891697e-14
1228,2.992662948e-14
1232,1.059516312e-13
1236,1.702581896e-13
1240,2.532074485e-13
1244,2.102280752e-13
1248,1.280154368e-13
1252,1.00291669e-13
1256,5.040463693e-14
1260,6.319924239e-14
1264,1.11632566e-13
1268,7.602952827e-14
1272,3.356052957e-14
1276,4.629843465e-14
1280,9.093028115e-14
1284,7.833341723e-14
1288,6.429856241e-14
1292,8.71204286e-14
1296,6.664375269e-14
1300,6.010346572e-14
1304,-1.868524188e-15
1308,9.281695556e-14
1312,5.381742076e-14
1316,8.704147835e-14
1320,1.090668896e-13
1324,1.008535229e-13
1328,1.006651088e-13
1332,1.078832255e-13
1336,7.838980252e-14
1340,1.290925239e-13
1344,6.471343914e-14
1348,1.091603072e-13
1352,8.746592995e-14
1356,1.026417924e-13
1360,1.023824851e-13
1364,9.032089177e-14
1368,8.861849785e-14
1372,8.110883926e-14
1376,9.139122971e-14
1380,5.787987548e-14
1384,3.948883524e-14
1388,2.855476814e-14
1392,3.107680197e-14
1396,1.258954726e-14
1400,1.052341875e-13
1404,2.89062902e-14
1408,5.569739345e-14
1412,2.491371909e-14
1416,5.480812405e-14
1420,2.974103778e-14
1424,4.009962054e-14
1428,3.103962061e-14
1432,5.202138565e-14
1436,7.354898042e-15
1440,2.763422798e-14
1444,1.85480937e-14
1448,3.570593528e-14
1452,6.564409118e-14
1456,3.886245777e-14
1460,6.883579942e-14
1464,7.057353833e-14
1468,5.207152323e-14
1472,3.633719505e-14
1476,3.1825264e-14
1480,4.477481889e-14
1484,1.180355726e-13
1488,8.673307027e-14
1492,4.593796792e-14
1496,3.624229348e-14
1500,3.72185701e-14
1504,3.926628919e-14
1508,7.363518974e-14
1512,7.072026477e-14
1516,5.56213265e-14
1520,8.91930098e-14
1524,6.60203771e-14
1528,1.112174589e-15
1532,3.993959568e-14
1536,5.420548044e-14
1540,3.453966578e-14
1544,4.501260814e-14
1548,3.516344795e-14
1552,1.866095957e-15
1556,3.160477793e-14
1560,3.181994802e-14
1564,2.30362316e-14
1568,2.309111086e-14
1572,-2.811667847e-15
1576,3.486104024e-14
1580,2.659885556e-14
1584,2.253768749e-15
1588,1.707555233e-14
1592,1.342708835e-14
1596,1.866701035e-14
1600,4.33425946e-14
1604,3.485502292e-14
1608,2.635170321e-14
1612,1.62954875e-14
1616,1.617369602e-14
1620,2.801817955e-14
1624,1.121910724e-14
1628,2.614830011e-14
1632,1.557749664e-14
1636,5.169091067e-14
1640,8.247618083e-14
1644,4.872692554e-14
1648,1.161552374e-14
1652,2.132028684e-14
1656,1.810540379e-14
1660,5.076405672e-14
1664,5.369466197e-14
1668,5.715082406e-14
1672,1.71353681e-14
1676,2.046350455e-14
1680,9.672243814e-15
1684,1.492729382e-14
1688,8.167027303e-15
1692,2.960574629e-14
1696,2.043427005e-14
1700,1.16414726e-14
1704,2.75632517e-14
1708,2.429344195e-14
1712,2.787655225e-14
1716,5.726789756e-14
1720,4.118358215e-14
1724,2.875526423e-14
1728,3.570048716e-14
1732,3.384557988e-14
1736,6.763788477e-14
1740,8.270002115e-14
1744,3.634278886e-14
1748,9.938881315e-14
1752,2.45666985e-13
1756,1.149553814e-13
1760,8.665269023e-14
1764,7.993436371e-14
1768,8.029249601e-14
1772,8.287428632e-14
1776,8.704462932e-14
1780,7.23096645e-14
1784,9.884471984e-14
1788,9.171712055e-14
1792,9.615248322e-14
1796,9.733452109e-14
1800,9.263064897e-14
1804,1.026008976e-13
1808,9.663234432e-14
1812,1.019152617e-13
1816,8.188968167e-14
1820,1.39629302e-13
1824,1.456392922e-13
1828,1.0459503e-13
1832,1.178573027e-13
1836,1.024927349e-13
1840,1.097064131e-13
1844,1.484425647e-13
1848,1.125829776e-13
1852,1.405458324e-13
1856,1.59137433e-13
1860,1.403051395e-13
1864,1.590851474e-13
1868,1.637377164e-13
1872,1.293648348e-13
1876,9.296070044e-14
1880,8.049879258e-14
1884,9.60183132e-14
1888,1.013033854e-13
1892,1.203910425e-13
1896,1.516207949e-13
1900,1.529778637e-13
1904,2.057462409e-13
1908,2.612928862e-13
1912,2.25592643e-13
1916,2.059973557e-13
1920,1.810886646e-13
1924,1.818168554e-13
1928,2.07552969e-13
1932,1.961014088e-13
1936,2.495527656e-13
1940,2.797161374e-13
1944,3.816175349e-13
1948,4.359189875e-13
1952,4.738156482e-13
1956,5.003905276e-13
1960,5.69639442e-13
1964,5.492952013e-13
1968,6.062277416e-13
1972,6.019415652e-13
1976,4.736291654e-13
1980,3.191669476e-13
1984,2.938264324e-13
1988,2.234650453e-13
1992,-8.089976443e-14
1996,2.608085189e-13
2000,5.414372835e-14
2004,-2.131961193e-13
2008,-5.335106051e-15
2012,3.635152346e-13
2016,1.019047517e-13
2020,7.811899592e-14
2024,2.5390085e-13
2028,2.075544123e-15
