wavelength,flux
1224,7.154364856e-14
1228,4.578543423e-14
1232,9.34074595e-14
1236,4.918692542e-14
1240,7.919564256e-14
1244,9.256661328e-14
1248,2.367386953e-14
1252,9.211686589e-14
1256,3.595012471e-14
1260,3.670169705e-14
1264,6.463032149e-14
1268,-5.469158756e-15
1272,4.269785345e-14
1276,8.8065365e-14
1280,4.924659042e-14
1284,4.472761205e-14
1288,5.48767676e-14
1292,4.95107495e-14
1296,-4.488314085e-15
1300,5.602041285e-15
1304,4.632250394e-14
1308,5.348986634e-14
1312,3.267998123e-14
1316,1.897642979e-14
1320,4.151593078e-14
1324,3.224240739e-14
1328,1.152733372e-13
1332,2.624290691e-14
1336,5.159859763e-14
1340,6.840461899e-14
1344,3.799132504e-14
1348,2.217508031e-14
1352,5.39860989e-14
1356,4.207954311e-14
1360,6.146821875e-14
1364,2.345206718e-14
1368,2.649110959e-14
1372,8.641837551e-15
1376,4.020021417e-14
1380,8.82998305e-14
1384,2.137834926e-14
1388,1.016429288e-14
1392,8.933339704e-15
1396,2.167528513e-14
1400,2.360428239e-14
1404,2.467198775e-14
1408,6.245989105e-14
1412,1.089164346e-14
1416,-1.94776988e-14
1420,3.032339326e-14
1424,1.796340888e-14
1428,1.214382243e-15
1432,9.35702982e-15
1436,1.05097451e-14
1440,-1.986657841e-14
1444,2.826044452e-14
1448,1.74172217e-14
1452,4.283312799e-14
1456,1.225922474e-14
1460,3.510829932e-14
1464,5.121529489e-14
1468,5.087610563e-14
1472,5.06197257e-14
1476,3.382344182e-14
1480,6.001621455e-14
1484,7.407571464e-14
1488,2.5137905e-14
1492,3.48885722e-14
1496,3.729007663e-14
1500,2.441642605e-14
1504,4.714493227e-14
1508,6.077525093e-14
1512,4.346377113e-14
1516,1.243053207e-14
1520,5.388193079e-14
1524,5.023066991e-14
1528,3.944025282e-14
1532,4.58014567e-14
1536,2.17289633e-14
1540,2.462934133e-14
1544,2.512352407e-14
1548,9.207356557e-15
1552,2.75760707e-14
1556,-4.549564308e-15
1560,2.681899435e-14
1564,1.071282972e-14
1568,3.717288792e-14
1572,1.198078129e-14
1576,6.47584132e-15
1580,2.122875985e-14
1584,2.595627011e-15
1588,1.867588386e-14
1592,-8.509030408e-16
1596,-3.237323714e-15
1600,9.450936974e-15
1604,7.020751168e-15
1608,3.44646932e-14
1612,2.812643036e-14
1616,4.090072058e-14
1620,6.833510723e-15
1624,3.002085004e-14
1628,3.354833907e-14
1632,2.681543511e-14
1636,4.832194893e-14
1640,5.178377258e-14
1644,1.429723005e-14
1648,1.83608757e-14
1652,2.359960168e-14
1656,1.714370121e-14
1660,2.581272937e-14
1664,3.320331206e-14
1668,3.5836707e-14
1672,6.644358949e-15
1676,1.886251402e-14
1680,2.257561678e-14
1684,2.117483435e-14
1688,2.263795163e-14
1692,4.005422296e-14
1696,2.705941957e-14
1700,2.681339885e-14
1704,2.983890736e-14
1708,2.987977839e-14
1712,3.013797098e-14
1716,1.415234083e-14
1720,2.784455643e-14
1724,2.345887902e-14
1728,3.938240386e-14
1732,1.978234267e-14
1736,1.256130887e-14
1740,2.525050956e-14
1744,3.707851151e-14
1748,6.759122342e-14
1752,8.701320101e-14
1756,6.397226499e-14
1760,5.004728728e-14
1764,4.309952663e-14
1768,4.611044077e-14
1772,4.345346104e-14
1776,3.845212113e-14
1780,3.066125438e-14
1784,3.159405111e-14
1788,3.92859573e-14
1792,4.533192262e-14
1796,4.230863164e-14
1800,4.251369832e-14
1804,5.094664992e-14
1808,6.46711146e-14
1812,7.567632908e-14
1816,7.116974111e-14
1820,8.334121154e-14
1824,8.163444692e-14
1828,8.210260542e-14
1832,7.777373174e-14
1836,8.275373659e-14
