wavelength,flux
1300,2.139965722e-14
1305,2.314178376e-14
1310,1.619190215e-14
1315,2.072585945e-14
1320,2.679506736e-14
1325,1.613477316e-14
1330,1.543239142e-14
1335,2.140888141e-14
1340,2.779010745e-14
1345,2.399137136e-14
1350,1.726554013e-14
1355,6.402721201e-15
1360,1.229658482e-14
1365,2.650211932e-14
1370,2.783787842e-14
1375,1.766036421e-14
1380,2.485916848e-14
1385,2.453208162e-14
1390,1.978531407e-14
1395,2.439366627e-14
1400,2.8609622e-14
1405,2.396069861e-14
1410,1.719151453e-14
1415,1.399237612e-14
1420,1.574354559e-14
1425,3.083712214e-14
1430,2.74440352e-14
1435,1.527330508e-14
1440,9.327071111e-15
1445,1.016997647e-14
1450,2.359775854e-14
1455,3.531037089e-14
1460,2.773423208e-14
1465,1.011579177e-14
1470,4.826690195e-15
1475,9.496768233e-15
1480,2.104968523e-14
1485,2.325752065e-14
1490,2.071233233e-14
1495,7.887009222e-15
1500,1.543271329e-14
1505,2.664604546e-14
1510,1.929134139e-14
1515,2.381698591e-14
1520,2.171474331e-14
1525,1.247747294e-14
1530,1.802863211e-14
1535,2.442769328e-14
1540,2.530449097e-14
1545,1.723413045e-14
1550,1.199334109e-14
1555,1.294590079e-14
1560,1.058713342e-14
1565,1.889947854e-14
1570,2.009255833e-14
1575,1.530122329e-14
1580,1.379842929e-14
1585,1.528609528e-14
1590,1.065396771e-14
1595,1.460689852e-14
1600,2.633490824e-14
1605,2.631223656e-14
1610,1.57796834e-14
1615,1.402726625e-14
1620,1.8988273e-14
1625,1.76820906e-14
1630,1.430910207e-14
1635,1.448948282e-14
1640,2.096922896e-14
1645,2.311016233e-14
1650,1.889830286e-14
1655,1.313508391e-14
1660,1.501115516e-14
1665,2.289527177e-14
1670,1.135689833e-14
1675,1.618819384e-14
1680,2.47561032e-14
1685,2.039041238e-14
1690,1.938480301e-14
1695,1.946875075e-14
1700,1.479962223e-14
1705,1.480647643e-14
1710,1.519748208e-14
1715,1.303106826e-14
1720,1.382526838e-14
1725,2.130780497e-14
1730,1.511606358e-14
1735,1.276380226e-14
1740,1.818804371e-14
1745,2.073677601e-14
1750,2.42193452e-14
1755,2.498631829e-14
1760,1.871031237e-14
1765,1.850300783e-14
1770,2.43175502e-14
1775,2.12586347e-14
1780,1.864060325e-14
1785,1.478851763e-14
1790,1.13552644e-14
1795,1.150306657e-14
1800,1.442604513e-14
1805,1.397354065e-14
1810,1.459662571e-14
1815,1.224890618e-14
1820,1.822469482e-14
1825,1.765737418e-14
1830,1.974599141e-14
1835,1.964850978e-14
1840,1.598220728e-14
1845,1.606183177e-14
1850,1.249874363e-14
1855,9.774441727e-15
1860,1.167682606e-14
1865,1.271564336e-14
1870,1.830429051e-14
1875,1.815054048e-14
