wavelength,flux
1224,7.352702702e-14
1228,-1.590422943e-15
1232,2.663573368e-14
1236,1.278394979e-14
1240,6.074119343e-14
1244,1.102061354e-13
1248,4.688147114e-14
1252,3.493126605e-14
1256,8.103312129e-14
1260,-1.127029683e-14
1264,1.466695485e-14
1268,1.334436881e-14
1272,1.417952635e-14
1276,-1.277947576e-14
1280,1.121116885e-14
1284,4.086265831e-14
1288,2.906407211e-14
1292,2.50110923e-14
1296,4.590557738e-14
1300,3.039702414e-14
1304,1.596552179e-15
1308,-1.3404808e-14
1312,-1.671157041e-15
1316,4.811693985e-14
1320,6.701991663e-14
1324,3.063580951e-14
1328,3.826201983e-14
1332,3.010288687e-14
1336,2.189204721e-15
1340,1.919074691e-15
1344,5.137306494e-15
1348,-1.844761696e-14
1352,6.472119034e-15
1356,1.119858024e-14
1360,5.107870405e-15
1364,-8.110064337e-15
1368,-1.00719036e-14
1372,9.034758347e-15
1376,1.912752522e-14
1380,4.422315311e-14
1384,4.807934768e-15
1388,4.190838486e-14
1392,1.286817874e-14
1396,-1.089191705e-14
1400,1.850001441e-14
1404,7.587471267e-16
1408,2.034971753e-14
1412,-1.674808262e-14
1416,4.473467292e-15
1420,1.865976483e-14
1424,2.638306714e-14
1428,3.081758956e-14
1432,-1.155908424e-14
1436,3.957223157e-15
1440,3.25183775e-14
1444,2.011737809e-14
1448,1.857636427e-14
1452,1.554624112e-14
1456,3.423605529e-14
1460,2.443760018e-14
1464,3.675638827e-14
1468,5.520439994e-14
1472,5.879201477e-14
1476,5.755176202e-14
1480,6.291898968e-14
1484,5.046396989e-14
1488,6.588676697e-15
1492,5.607560382e-14
1496,3.230358011e-14
1500,2.605011501e-15
1504,1.942509467e-14
1508,3.133071873e-14
1512,7.864573522e-14
1516,5.588586844e-14
1520,6.411990622e-14
1524,4.602852252e-14
1528,3.676372696e-14
1532,2.026806186e-14
1536,1.970566248e-14
1540,4.155475538e-14
1544,4.492695278e-14
1548,2.502860556e-14
1552,5.920231753e-15
1556,7.254664399e-15
1560,3.42681409e-14
1564,3.502356215e-14
1568,5.211635499e-14
1572,3.781761129e-15
1576,5.475554702e-14
1580,2.720261218e-14
1584,2.080159775e-14
1588,2.707386317e-14
1592,3.749779282e-15
1596,2.248137928e-14
1600,3.921531814e-14
1604,2.638161533e-14
1608,1.306427619e-14
1612,9.177175079e-15
1616,6.488835229e-15
1620,2.700033055e-14
1624,8.464224059e-15
1628,-3.642800715e-15
1632,-1.068831489e-14
1636,9.176235719e-15
1640,3.828867426e-14
1644,1.899474095e-14
1648,1.411573969e-14
1652,1.587155429e-14
1656,-2.125318558e-16
1660,1.752884032e-14
1664,2.075778582e-14
1668,3.84122191e-14
1672,1.367178431e-14
1676,-1.525656602e-14
1680,1.027618847e-14
1684,1.892416108e-14
1688,8.160581382e-15
1692,1.444498309e-14
1696,1.880815145e-14
1700,1.722169262e-14
1704,1.857085347e-14
1708,2.6293061e-15
1712,2.480232748e-14
1716,4.876044264e-15
1720,2.620784483e-14
1724,2.612174647e-15
1728,1.143818215e-14
1732,1.816598358e-14
1736,1.685367205e-14
1740,2.600466026e-14
1744,4.574638601e-14
1748,4.615038684e-14
1752,7.05835672e-14
1756,4.774367276e-14
1760,3.590603157e-14
1764,3.801237211e-14
1768,4.100147007e-14
1772,4.24847264e-14
1776,3.175913105e-14
1780,3.146865635e-14
1784,4.314268804e-14
1788,3.518858111e-14
1792,4.063168259e-14
1796,3.617348053e-14
1800,3.326060198e-14
1804,3.092950971e-14
1808,3.85562147e-14
1812,3.739439043e-14
1816,3.913778074e-14
1820,5.103877661e-14
1824,3.372446772e-14
1828,4.129850419e-14
1832,4.567701401e-14
1836,4.176950533e-14
1840,4.264637078e-14
1844,4.482807354e-14
1848,3.276586698e-14
1852,3.327021411e-14
1856,2.670595102e-14
1860,3.523036355e-14
1864,4.462816699e-14
1868,2.894726966e-14
1872,4.059010344e-14
1876,3.359037224e-14
1880,2.89907936e-14
1884,3.652207524e-14
1888,2.432954757e-14
1892,4.51909594e-14
1896,3.337700464e-14
1900,3.029979154e-14
1904,2.858938807e-14
1908,4.276277683e-14
1912,4.221960848e-14
1916,4.022150858e-14
1920,3.902459681e-14
